,gram,language1,language2,l1,l2,kl,dot_product
0,unigram,Amharic,Amharic,0.0,0.0,0.0,1.0
1,unigram,Amharic,Arabic,1.1533416897772673,0.2779304533112292,-0.0682340115440083,0.3765790942405339
2,unigram,Amharic,Cebuano,1.0136199382543496,0.30710709666246067,0.04082449989412336,0.44847980978597657
3,unigram,Amharic,Croatian,1.1666149349327664,0.2781625670380235,0.04968067371495953,0.39107686166731087
4,unigram,Amharic,Czech,1.0557477506805961,0.27010093491997933,0.007864822989515852,0.38550495662160855
5,unigram,Amharic,Dutch,1.2948491093143617,0.2947043539985689,0.9651126479798192,0.30374940291954466
6,unigram,Amharic,Farsi,1.1922436100601108,0.3012452859223394,0.4019367730351115,0.3245984531452833
7,unigram,Amharic,French,1.0751502085831484,0.22598856880238288,0.672261080794489,0.5695648104514338
8,unigram,Amharic,German,1.0894948353550329,0.22100996664304653,0.34519432946254563,0.5934324304380701
9,unigram,Amharic,Hausa,0.9997441766754442,0.3084368022365404,1.5570673683153933,0.449985227835802
10,unigram,Amharic,Hindi,1.0202889288398969,0.2294020076179143,0.33200681684506334,0.5621843374979603
11,unigram,Amharic,Hungarian,1.1060028792609948,0.29189832086945683,0.14520071483321242,0.3091411719211185
12,unigram,Amharic,Indonesian,0.7541414871240396,0.22016421330711852,0.1716272400882,0.6871832828046348
13,unigram,Amharic,Kazakh,1.073284678980136,0.25120645337294334,0.39864436374370976,0.47440791462914345
14,unigram,Amharic,Malayalam,1.3323622429456397,0.3053553831098876,1.0002908464240772,0.3718817125830377
15,unigram,Amharic,Maori,1.2987279935276708,0.35815259630796786,0.26294676591044003,0.39420803587165487
16,unigram,Amharic,Marathi,1.0474012588669221,0.2550671192340471,0.3230213625977824,0.4898459426857905
17,unigram,Amharic,Polish,1.0008809252732436,0.24274607227044387,0.2777228671221325,0.48367343122811335
18,unigram,Amharic,Porteguese,1.2781212880830377,0.3175740403751005,0.3072035017034353,0.23455243517575572
19,unigram,Amharic,Russian,1.0518521626248278,0.25915875208544326,0.3495354528730466,0.4570570087399596
20,unigram,Amharic,Somali,1.1099557192246083,0.3080455645404139,-0.005024053106836325,0.28246821696501084
21,unigram,Amharic,Spanish,1.1194982562422835,0.29116332295047925,0.08291470305714754,0.40782991246601064
22,unigram,Amharic,Swedish,1.252867134118928,0.2785061176734677,0.5272122379218899,0.3377786224273202
23,unigram,Amharic,Telugu,0.8862808018083576,0.19350393262352114,0.12529276307463671,0.6988742592509585
24,unigram,Amharic,Thai,1.144449827786677,0.2584499757439585,0.13446371254747852,0.4183259333167218
25,unigram,Amharic,Urdu,1.4938276090145146,0.3179139589191765,1.3565919770567316,0.17988397460558747
26,unigram,Amharic,Vietnamese,1.3184723689896674,0.2827026624673584,1.1290250151046186,0.31256399503324284
27,unigram,Amharic,Xhosa,1.2223757439425476,0.2912438048231493,0.06752142610835976,0.39597609162467295
28,unigram,Amharic,Zulu,1.1058613246451223,0.2833807271480927,0.23046949410411946,0.43347345084306893
29,unigram,Arabic,Arabic,0.0,0.0,0.0,1.0
30,unigram,Arabic,Cebuano,1.2980014192520586,0.30635972012561885,0.46765800282480935,0.40767838915769433
31,unigram,Arabic,Croatian,1.4117921658969679,0.27299276263552646,0.41002329733908927,0.33288966953882615
32,unigram,Arabic,Czech,1.2693451430976175,0.24823088606052132,0.1824930511367889,0.3996077662339022
33,unigram,Arabic,Dutch,1.2382156324696376,0.2395750665189385,0.9149845315783338,0.4751934923107707
34,unigram,Arabic,Farsi,1.1550698453335728,0.2685356334191859,0.2797699378283085,0.397226926398589
35,unigram,Arabic,French,1.359497496031588,0.24653208329673812,0.7672655420408514,0.3972093831803598
36,unigram,Arabic,German,1.2162082726194294,0.22469917889834495,0.6555137398711547,0.5075099549328965
37,unigram,Arabic,Hausa,1.3365483366299016,0.3119047052863007,0.3761424386269479,0.3926000832293581
38,unigram,Arabic,Hindi,1.1347121406965353,0.2148470195029798,0.5641232812357482,0.5520260413062986
39,unigram,Arabic,Hungarian,1.297137163622632,0.26149262081980734,0.25783577994052914,0.36603867208030116
40,unigram,Arabic,Indonesian,1.1468217452738578,0.26984843053882435,0.2155651604531882,0.4850693005413486
41,unigram,Arabic,Kazakh,1.321033450736352,0.25569097227423476,0.3036563806894479,0.3688621135453553
42,unigram,Arabic,Malayalam,1.4813169804850612,0.2842384177695538,1.0246549117390809,0.4005973561656766
43,unigram,Arabic,Maori,1.4227533872127807,0.35436430950227626,1.1154562718786307,0.37355146395140637
44,unigram,Arabic,Marathi,1.1138976760655217,0.20287505843377115,0.4461805578476004,0.6328819686400569
45,unigram,Arabic,Polish,1.3716221520769598,0.24823880970411577,0.31044904577526494,0.3601126252329045
46,unigram,Arabic,Porteguese,1.5021333634054912,0.29991289792662784,0.45587169966927943,0.22963698136321709
47,unigram,Arabic,Russian,1.3574879363180798,0.2647565676370803,0.4651097093338026,0.3500061463718829
48,unigram,Arabic,Somali,1.2083694338560933,0.27530887218380584,0.5004302144052166,0.3540536100320526
49,unigram,Arabic,Spanish,1.33191022699968,0.28707583344637455,0.3428079700655983,0.36084177403203727
50,unigram,Arabic,Swedish,1.172805339111743,0.2165263299292271,0.3428960139740099,0.5371542819535458
51,unigram,Arabic,Telugu,1.359574968956073,0.25662469432500823,0.5937526619076151,0.38245420414156533
52,unigram,Arabic,Thai,1.1299896691622322,0.1958762550044346,0.6042149484823274,0.6108039967711406
53,unigram,Arabic,Urdu,1.2915552258990628,0.26439217444700674,1.2471751456549982,0.3527033410608286
