Bengali,ben-Beng,ben-Beng-red,
Hindi,hin-Deva,
Malyalam,mal-Mlym,
Marathi,mar-Deva,
Odia,ori-Orya,
Punjabi,pan-Guru,
Tamil,tam-Taml,tam-Taml-red,
Telugu,tel-Telu,
Urdu,urd-Arab
